Year,Month,ZIP,Customer Type,Monthly Usage (kWh)
2015,10,"37219
(36.167467, -86.783669)",COMMERCIAL,216867
2015,9,"37213
(36.167552, -86.767564)",COMMERCIAL,153407
2016,4,37076,OUTDOOR LIGHTING,0
2016,4,37214,COMMERCIAL,1149364
2016,1,"37208
(36.176427, -86.805176)",COMMERCIAL,939818
2016,1,"37206
(36.18095, -86.739624)",RESIDENTIAL,4032207
2016,1,"37015
(36.29003, -87.070106)",RESIDENTIAL,833727
2016,1,"37217
(36.106646, -86.667608)",COMMERCIAL,10306428
2016,1,"37218
(36.210699, -86.866798)",OUTDOOR LIGHTING,0
2016,1,"37075
(36.323052, -86.60557)",OUTDOOR LIGHTING,37251
2016,1,"37135
(35.946013, -86.661944)",COMMERCIAL,6754
2016,1,"37066
(36.387698, -86.459057)",COMMERCIAL,302616
2016,1,"37205
(36.112469, -86.867263)",COMMERCIAL,849412
2016,1,"37209
(36.149599, -86.874487)",COMMERCIAL,2140612
2016,1,"37080
(36.331509, -86.915843)",COMMERCIAL,511764
2016,1,"37206
(36.18095, -86.739624)",OUTDOOR LIGHTING,1347
2016,1,"37205
(36.112469, -86.867263)",RESIDENTIAL,7313534
2016,1,"37214
(36.168995, -86.667231)",COMMERCIAL,24607165
2016,1,"37243
(36.166899, -86.77672)",RESIDENTIAL,16520
2016,1,"37138
(36.239455, -86.611783)",OUTDOOR LIGHTING,800
2016,1,"37204
(36.109305, -86.776748)",COMMERCIAL,13104069
2016,1,"37066
(36.387698, -86.459057)",COMMERCIAL,28179
2016,1,"37204
(36.109305, -86.776748)",RESIDENTIAL,2167596
2016,1,"37242
(36.165017, -86.782171)",COMMERCIAL,336000
2016,1,"37218
(36.210699, -86.866798)",COMMERCIAL,4981004
2016,1,"37216
(36.216134, -86.726204)",COMMERCIAL,637662
2016,1,"37207
(36.224945, -86.775061)",COMMERCIAL,13206729
2016,1,"37207
(36.224945, -86.775061)",OUTDOOR LIGHTING,179
2016,1,"37220
(36.06788, -86.776955)",OUTDOOR LIGHTING,700
2016,1,"37221
(36.064367, -86.96029)",OUTDOOR LIGHTING,6302
2016,1,"37218
(36.210699, -86.866798)",COMMERCIAL,502996
2016,1,"37220
(36.06788, -86.776955)",RESIDENTIAL,2271351
2016,1,"37115
(36.262567, -86.704171)",OUTDOOR LIGHTING,256
2016,1,"37216
(36.216134, -86.726204)",OUTDOOR LIGHTING,1640
2016,1,"37221
(36.064367, -86.96029)",RESIDENTIAL,6205021
2016,1,"37216
(36.216134, -86.726204)",COMMERCIAL,2888524
2016,1,"37217
(36.106646, -86.667608)",OUTDOOR LIGHTING,466
2016,1,"37086
(36.014912, -86.5643)",RESIDENTIAL,4501305
2016,1,"37217
(36.106646, -86.667608)",RESIDENTIAL,3889596
2016,1,"37072
(36.350389, -86.731255)",RESIDENTIAL,7743213
2016,1,"37135
(35.946013, -86.661944)",RESIDENTIAL,181014
2016,1,"37213
(36.167552, -86.767564)",COMMERCIAL,171601
2016,1,"37189
(36.279393, -86.826731)",COMMERCIAL,1069447
2016,1,"37027
(36.00245, -86.778709)",RESIDENTIAL,6808721
2016,1,"37204
(36.109305, -86.776748)",OUTDOOR LIGHTING,8669
2016,1,"37152
(36.396526, -86.765833)",COMMERCIAL,51720
2016,1,"37076
(36.175185, -86.5933)",COMMERCIAL,6639860
2016,1,"37220
(36.06788, -86.776955)",COMMERCIAL,259361
2016,1,"37211
(36.069132, -86.724578)",RESIDENTIAL,8287184
2016,1,"37080
(36.331509, -86.915843)",RESIDENTIAL,1883052
2016,1,"37189
(36.279393, -86.826731)",COMMERCIAL,1599527
2016,1,"37207
(36.224945, -86.775061)",COMMERCIAL,1540869
2016,1,"37212
(36.133256, -86.801456)",RESIDENTIAL,1625581
2016,1,"37213
(36.167552, -86.767564)",RESIDENTIAL,461
2016,1,"37228
(36.193837, -86.803025)",RESIDENTIAL,46367
2016,1,"37204
(36.109305, -86.776748)",COMMERCIAL,1506851
2016,1,"37208
(36.176427, -86.805176)",COMMERCIAL,15076687
2016,1,"37013
(36.049335, -86.641832)",COMMERCIAL,12725654
2016,1,"37152
(36.396526, -86.765833)",COMMERCIAL,13026
2016,1,"37027
(36.00245, -86.778709)",COMMERCIAL,1017274
2016,1,"37080
(36.331509, -86.915843)",OUTDOOR LIGHTING,0
2016,1,"37086
(36.014912, -86.5643)",COMMERCIAL,655683
2016,1,"37215
(36.091316, -86.827959)",COMMERCIAL,4854011
2016,1,"37210
(36.140869, -86.738847)",SEASONAL CUSTOMER,8200
2016,1,"37015
(36.29003, -87.070106)",COMMERCIAL,5035
2016,1,"37143
(36.12259, -87.03587)",COMMERCIAL,28054
2016,1,"37212
(36.133256, -86.801456)",SEASONAL CUSTOMER,0
2016,1,"37152
(36.396526, -86.765833)",RESIDENTIAL,8114
2016,1,"37228
(36.193837, -86.803025)",COMMERCIAL,4938048
2016,1,"37075
(36.323052, -86.60557)",COMMERCIAL,8221125
2016,1,"37215
(36.091316, -86.827959)",OUTDOOR LIGHTING,3411
2016,1,"37209
(36.149599, -86.874487)",COMMERCIAL,25251510
2016,1,"37073
(36.42764, -86.812249)",RESIDENTIAL,88599
2016,1,"37201
(36.164553, -86.776977)",COMMERCIAL,184315
2016,1,"37076
(36.175185, -86.5933)",COMMERCIAL,1000319
