,year,month,customer_type,monthly_usage(kWh),zip_code,geometry
0,2015.0,10,COMMERCIAL,216867.0,37219,"(36.167467, -86.783669)"
1,2015.0,9,COMMERCIAL,153407.0,37213,"(36.167552, -86.767564)"
2,2016.0,4,OUTDOOR LIGHTING,0.0,37076,
3,2016.0,4,COMMERCIAL,1149364.0,37214,
4,2016.0,1,COMMERCIAL,939818.0,37208,"(36.176427, -86.805176)"
5,2016.0,1,RESIDENTIAL,4032207.0,37206,"(36.18095, -86.739624)"
6,2016.0,1,RESIDENTIAL,833727.0,37015,"(36.29003, -87.070106)"
7,2016.0,1,COMMERCIAL,10306428.0,37217,"(36.106646, -86.667608)"
8,2016.0,1,OUTDOOR LIGHTING,0.0,37218,"(36.210699, -86.866798)"
9,2016.0,1,OUTDOOR LIGHTING,37251.0,37075,"(36.323052, -86.60557)"
10,2016.0,1,COMMERCIAL,6754.0,37135,"(35.946013, -86.661944)"
11,2016.0,1,COMMERCIAL,302616.0,37066,"(36.387698, -86.459057)"
12,2016.0,1,COMMERCIAL,849412.0,37205,"(36.112469, -86.867263)"
13,2016.0,1,COMMERCIAL,2140612.0,37209,"(36.149599, -86.874487)"
14,2016.0,1,COMMERCIAL,511764.0,37080,"(36.331509, -86.915843)"
15,2016.0,1,OUTDOOR LIGHTING,1347.0,37206,"(36.18095, -86.739624)"
16,2016.0,1,RESIDENTIAL,7313534.0,37205,"(36.112469, -86.867263)"
17,2016.0,1,COMMERCIAL,24607165.0,37214,"(36.168995, -86.667231)"
18,2016.0,1,RESIDENTIAL,16520.0,37243,"(36.166899, -86.77672)"
19,2016.0,1,OUTDOOR LIGHTING,800.0,37138,"(36.239455, -86.611783)"
20,2016.0,1,COMMERCIAL,13104069.0,37204,"(36.109305, -86.776748)"
21,2016.0,1,COMMERCIAL,28179.0,37066,"(36.387698, -86.459057)"
22,2016.0,1,RESIDENTIAL,2167596.0,37204,"(36.109305, -86.776748)"
23,2016.0,1,COMMERCIAL,336000.0,37242,"(36.165017, -86.782171)"
24,2016.0,1,COMMERCIAL,4981004.0,37218,"(36.210699, -86.866798)"
25,2016.0,1,COMMERCIAL,637662.0,37216,"(36.216134, -86.726204)"
26,2016.0,1,COMMERCIAL,13206729.0,37207,"(36.224945, -86.775061)"
27,2016.0,1,OUTDOOR LIGHTING,179.0,37207,"(36.224945, -86.775061)"
28,2016.0,1,OUTDOOR LIGHTING,700.0,37220,"(36.06788, -86.776955)"
29,2016.0,1,OUTDOOR LIGHTING,6302.0,37221,"(36.064367, -86.96029)"
30,2016.0,1,COMMERCIAL,502996.0,37218,"(36.210699, -86.866798)"
31,2016.0,1,RESIDENTIAL,2271351.0,37220,"(36.06788, -86.776955)"
32,2016.0,1,OUTDOOR LIGHTING,256.0,37115,"(36.262567, -86.704171)"
33,2016.0,1,OUTDOOR LIGHTING,1640.0,37216,"(36.216134, -86.726204)"
34,2016.0,1,RESIDENTIAL,6205021.0,37221,"(36.064367, -86.96029)"
35,2016.0,1,COMMERCIAL,2888524.0,37216,"(36.216134, -86.726204)"
36,2016.0,1,OUTDOOR LIGHTING,466.0,37217,"(36.106646, -86.667608)"
37,2016.0,1,RESIDENTIAL,4501305.0,37086,"(36.014912, -86.5643)"
38,2016.0,1,RESIDENTIAL,3889596.0,37217,"(36.106646, -86.667608)"
39,2016.0,1,RESIDENTIAL,7743213.0,37072,"(36.350389, -86.731255)"
40,2016.0,1,RESIDENTIAL,181014.0,37135,"(35.946013, -86.661944)"
41,2016.0,1,COMMERCIAL,171601.0,37213,"(36.167552, -86.767564)"
42,2016.0,1,COMMERCIAL,1069447.0,37189,"(36.279393, -86.826731)"
43,2016.0,1,RESIDENTIAL,6808721.0,37027,"(36.00245, -86.778709)"
44,2016.0,1,OUTDOOR LIGHTING,8669.0,37204,"(36.109305, -86.776748)"
45,2016.0,1,COMMERCIAL,51720.0,37152,"(36.396526, -86.765833)"
46,2016.0,1,COMMERCIAL,6639860.0,37076,"(36.175185, -86.5933)"
47,2016.0,1,COMMERCIAL,259361.0,37220,"(36.06788, -86.776955)"
48,2016.0,1,RESIDENTIAL,8287184.0,37211,"(36.069132, -86.724578)"
49,2016.0,1,RESIDENTIAL,1883052.0,37080,"(36.331509, -86.915843)"
50,2016.0,1,COMMERCIAL,1599527.0,37189,"(36.279393, -86.826731)"
51,2016.0,1,COMMERCIAL,1540869.0,37207,"(36.224945, -86.775061)"
52,2016.0,1,RESIDENTIAL,1625581.0,37212,"(36.133256, -86.801456)"
53,2016.0,1,RESIDENTIAL,461.0,37213,"(36.167552, -86.767564)"
54,2016.0,1,RESIDENTIAL,46367.0,37228,"(36.193837, -86.803025)"
55,2016.0,1,COMMERCIAL,1506851.0,37204,"(36.109305, -86.776748)"
56,2016.0,1,COMMERCIAL,15076687.0,37208,"(36.176427, -86.805176)"
57,2016.0,1,COMMERCIAL,12725654.0,37013,"(36.049335, -86.641832)"
58,2016.0,1,COMMERCIAL,13026.0,37152,"(36.396526, -86.765833)"
59,2016.0,1,COMMERCIAL,1017274.0,37027,"(36.00245, -86.778709)"
60,2016.0,1,OUTDOOR LIGHTING,0.0,37080,"(36.331509, -86.915843)"
61,2016.0,1,COMMERCIAL,655683.0,37086,"(36.014912, -86.5643)"
62,2016.0,1,COMMERCIAL,4854011.0,37215,"(36.091316, -86.827959)"
63,2016.0,1,SEASONAL CUSTOMER,8200.0,37210,"(36.140869, -86.738847)"
64,2016.0,1,COMMERCIAL,5035.0,37015,"(36.29003, -87.070106)"
65,2016.0,1,COMMERCIAL,28054.0,37143,"(36.12259, -87.03587)"
66,2016.0,1,SEASONAL CUSTOMER,0.0,37212,"(36.133256, -86.801456)"
