,year,month,customer_type,monthly_usage,zip_code,geometry,latitude,longitude,geo
0,2015.0,10,COMMERCIAL,216867.0,37219,"(36.167467, -86.783669)",36.167467,-86.78366,POINT (-86.78366 36.167467)
1,2015.0,9,COMMERCIAL,153407.0,37213,"(36.167552, -86.767564)",36.167552,-86.76756,POINT (-86.76756 36.167552)
2,2016.0,4,OUTDOOR LIGHTING,0.0,37076,,,,POINT (nan nan)
3,2016.0,4,COMMERCIAL,1149364.0,37214,,,,POINT (nan nan)
4,2016.0,1,COMMERCIAL,939818.0,37208,"(36.176427, -86.805176)",36.176427,-86.80517,POINT (-86.80517 36.176427)
5,2016.0,1,RESIDENTIAL,4032207.0,37206,"(36.18095, -86.739624)",86.739624,-86.73962,POINT (-86.73962 86.73962400000001)
6,2016.0,1,RESIDENTIAL,833727.0,37015,"(36.29003, -87.070106)",87.070106,-87.07010,POINT (-87.0701 87.070106)
7,2016.0,1,COMMERCIAL,10306428.0,37217,"(36.106646, -86.667608)",36.106646,-86.66760,POINT (-86.66759999999999 36.106646)
8,2016.0,1,OUTDOOR LIGHTING,0.0,37218,"(36.210699, -86.866798)",36.210699,-86.86679,POINT (-86.86678999999999 36.210699)
9,2016.0,1,OUTDOOR LIGHTING,37251.0,37075,"(36.323052, -86.60557)",36.323052,-86.60557,POINT (-86.60557 36.323052)
10,2016.0,1,COMMERCIAL,6754.0,37135,"(35.946013, -86.661944)",35.946013,-86.66194,POINT (-86.66194 35.946013)
11,2016.0,1,COMMERCIAL,302616.0,37066,"(36.387698, -86.459057)",36.387698,-86.45905,POINT (-86.45905 36.387698)
12,2016.0,1,COMMERCIAL,849412.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
13,2016.0,1,COMMERCIAL,2140612.0,37209,"(36.149599, -86.874487)",36.149599,-86.87448,POINT (-86.87448000000001 36.149599)
14,2016.0,1,COMMERCIAL,511764.0,37080,"(36.331509, -86.915843)",36.331509,-86.91584,POINT (-86.91584 36.331509)
15,2016.0,1,OUTDOOR LIGHTING,1347.0,37206,"(36.18095, -86.739624)",86.739624,-86.73962,POINT (-86.73962 86.73962400000001)
16,2016.0,1,RESIDENTIAL,7313534.0,37205,"(36.112469, -86.867263)",36.112469,-86.86726,POINT (-86.86726 36.112469)
17,2016.0,1,COMMERCIAL,24607165.0,37214,"(36.168995, -86.667231)",36.168995,-86.66723,POINT (-86.66723 36.168995)
18,2016.0,1,RESIDENTIAL,16520.0,37243,"(36.166899, -86.77672)",36.166899,-86.77672,POINT (-86.77672 36.166899)
19,2016.0,1,OUTDOOR LIGHTING,800.0,37138,"(36.239455, -86.611783)",36.239455,-86.61178,POINT (-86.61178 36.239455)
20,2016.0,1,COMMERCIAL,13104069.0,37204,"(36.109305, -86.776748)",36.109305,-86.77674,POINT (-86.77674 36.109305)
21,2016.0,1,COMMERCIAL,28179.0,37066,"(36.387698, -86.459057)",36.387698,-86.45905,POINT (-86.45905 36.387698)
22,2016.0,1,RESIDENTIAL,2167596.0,37204,"(36.109305, -86.776748)",36.109305,-86.77674,POINT (-86.77674 36.109305)
23,2016.0,1,COMMERCIAL,336000.0,37242,"(36.165017, -86.782171)",36.165017,-86.78217,POINT (-86.78216999999999 36.165017)
24,2016.0,1,COMMERCIAL,4981004.0,37218,"(36.210699, -86.866798)",36.210699,-86.86679,POINT (-86.86678999999999 36.210699)
25,2016.0,1,COMMERCIAL,637662.0,37216,"(36.216134, -86.726204)",36.216134,-86.72620,POINT (-86.72620000000001 36.216134)
