year,month,zip_code,customer_type,monthly_usage,lat,lng,geometry
2015.0,8,37204.0,commercial,6517747.0,36.109305,-86.776748,POINT (-86.776748 36.109305)
2015.0,8,37242.0,commercial,398400.0,36.165017,-86.782171,POINT (-86.78217100000001 36.165017)
2015.0,8,37210.0,commercial,10749731.0,36.140869,-86.738847,POINT (-86.73884700000001 36.140869)
2015.0,8,37214.0,commercial,1656933.0,36.168995,-86.667231,POINT (-86.667231 36.168995)
2015.0,8,37205.0,commercial,9106796.0,36.112469,-86.867263,POINT (-86.86726299999999 36.112469)
2015.0,8,37234.0,commercial,40.0,36.159965,-86.783617,POINT (-86.78361700000001 36.159965)
2015.0,8,37203.0,commercial,2970048.0,36.150195,-86.790206,POINT (-86.790206 36.150195)
2015.0,8,37013.0,commercial,1266980.0,36.049335,-86.641832,POINT (-86.64183199999999 36.049335)
2015.0,8,37189.0,commercial,1072968.0,36.279393,-86.826731,POINT (-86.826731 36.279393)
2015.0,8,37205.0,commercial,1119183.0,36.112469,-86.867263,POINT (-86.86726299999999 36.112469)
2015.0,8,37206.0,commercial,1313389.0,36.18095,-86.739624,POINT (-86.73962400000001 36.18095)
2015.0,8,37209.0,commercial,2960268.0,36.149599,-86.874487,POINT (-86.874487 36.149599)
2015.0,8,37138.0,commercial,1369193.0,36.239455,-86.611783,POINT (-86.611783 36.239455)
2015.0,8,37228.0,commercial,6129815.0,36.193837,-86.803025,POINT (-86.80302500000001 36.193837)
2015.0,8,37209.0,commercial,12423075.0,36.149599,-86.874487,POINT (-86.874487 36.149599)
2015.0,8,37220.0,commercial,105202.0,36.06788,-86.776955,POINT (-86.776955 36.06788)
2015.0,8,37143.0,commercial,30339.0,36.12259,-87.03587,POINT (-87.03587 36.12259)
2015.0,8,37072.0,commercial,6467723.0,36.350389,-86.731255,POINT (-86.731255 36.350389)
2015.0,8,37229.0,commercial,347700.0,36.166687,-86.779932,POINT (-86.779932 36.166687)
2015.0,8,37212.0,commercial,1264719.0,36.133256,-86.801456,POINT (-86.801456 36.133256)
2015.0,8,37072.0,commercial,1790369.0,36.350389,-86.731255,POINT (-86.731255 36.350389)
2015.0,8,37189.0,commercial,1607902.0,36.279393,-86.826731,POINT (-86.826731 36.279393)
2015.0,8,37073.0,commercial,23143.0,36.42764,-86.812249,POINT (-86.81224899999999 36.42764)
2015.0,8,37212.0,commercial,11999926.0,36.133256,-86.801456,POINT (-86.801456 36.133256)
2015.0,8,37214.0,commercial,12922243.0,36.168995,-86.667231,POINT (-86.667231 36.168995)
2015.0,8,37015.0,commercial,67230.0,36.29003,-87.070106,POINT (-87.070106 36.29003)
2015.0,8,37243.0,commercial,2437380.0,36.166899,-86.77672,POINT (-86.77672 36.166899)
2015.0,8,37066.0,commercial,69268.0,36.387698,-86.459057,POINT (-86.459057 36.387698)
2015.0,8,37027.0,commercial,8643173.0,36.00245,-86.778709,POINT (-86.77870900000001 36.00245)
2015.0,8,37238.0,commercial,99000.0,36.166067,-86.779698,POINT (-86.779698 36.166067)
2015.0,8,37082.0,commercial,585.0,36.08832,-87.117051,POINT (-87.117051 36.08832)
2015.0,8,37243.0,commercial,121536.0,36.166899,-86.77672,POINT (-86.77672 36.166899)
2015.0,8,37075.0,commercial,9283580.0,36.323052,-86.60557,POINT (-86.60557 36.323052)
2015.0,8,37076.0,commercial,1126839.0,36.175185,-86.5933,POINT (-86.5933 36.175185)
2015.0,8,37228.0,commercial,263936.0,36.193837,-86.803025,POINT (-86.80302500000001 36.193837)
2015.0,8,37216.0,commercial,865821.0,36.216134,-86.726204,POINT (-86.726204 36.216134)
2015.0,8,37069.0,commercial,90560.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
2015.0,8,37203.0,commercial,34673669.0,36.150195,-86.790206,POINT (-86.790206 36.150195)
2015.0,8,37152.0,commercial,25897.0,36.396526,-86.765833,POINT (-86.765833 36.396526)
2015.0,8,37211.0,commercial,14581424.0,36.069132,-86.724578,POINT (-86.72457799999999 36.069132)
2015.0,8,37115.0,commercial,10573874.0,36.262567,-86.704171,POINT (-86.704171 36.262567)
2015.0,8,37138.0,commercial,582506.0,36.239455,-86.611783,POINT (-86.611783 36.239455)
2015.0,8,37207.0,commercial,2022349.0,36.224945,-86.775061,POINT (-86.77506099999999 36.224945)
2015.0,8,37206.0,commercial,3450527.0,36.18095,-86.739624,POINT (-86.73962400000001 36.18095)
2015.0,8,37215.0,commercial,6435801.0,36.091316,-86.827959,POINT (-86.82795900000001 36.091316)
2015.0,8,37219.0,commercial,6498840.0,36.167467,-86.783669,POINT (-86.783669 36.167467)
2015.0,8,37227.0,commercial,117900.0,36.129798,-86.666977,POINT (-86.666977 36.129798)
2015.0,8,37201.0,commercial,246523.0,36.164553,-86.776977,POINT (-86.776977 36.164553)
2015.0,8,37217.0,commercial,1146652.0,36.106646,-86.667608,POINT (-86.667608 36.106646)
2015.0,8,37221.0,commercial,4444528.0,36.064367,-86.96029,POINT (-86.96029 36.064367)
2015.0,8,37208.0,commercial,5888256.0,36.176427,-86.805176,POINT (-86.805176 36.176427)
2015.0,8,37208.0,commercial,1310251.0,36.176427,-86.805176,POINT (-86.805176 36.176427)
2015.0,8,37122.0,commercial,7117.0,36.187906,-86.500085,POINT (-86.500085 36.187906)
2015.0,8,37073.0,commercial,54320.0,36.42764,-86.812249,POINT (-86.81224899999999 36.42764)
2015.0,8,37015.0,commercial,4650.0,36.29003,-87.070106,POINT (-87.070106 36.29003)
2015.0,8,37080.0,commercial,599253.0,36.331509,-86.915843,POINT (-86.915843 36.331509)
2015.0,8,37213.0,commercial,163747.0,36.167552,-86.767564,POINT (-86.76756399999999 36.167552)
2015.0,8,37227.0,commercial,387.0,36.129798,-86.666977,POINT (-86.666977 36.129798)
2015.0,8,37213.0,commercial,1753006.0,36.167552,-86.767564,POINT (-86.76756399999999 36.167552)
2015.0,8,37115.0,commercial,1920673.0,36.262567,-86.704171,POINT (-86.704171 36.262567)
2015.0,8,37210.0,commercial,2471607.0,36.140869,-86.738847,POINT (-86.73884700000001 36.140869)
2015.0,8,37201.0,commercial,5755819.0,36.164553,-86.776977,POINT (-86.776977 36.164553)
2015.0,8,37217.0,commercial,5352523.0,36.106646,-86.667608,POINT (-86.667608 36.106646)
2015.0,8,37013.0,commercial,5948530.0,36.049335,-86.641832,POINT (-86.64183199999999 36.049335)
2015.0,8,37069.0,commercial,5504.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
2015.0,8,37204.0,commercial,657933.0,36.109305,-86.776748,POINT (-86.776748 36.109305)
2015.0,8,37215.0,commercial,1422938.0,36.091316,-86.827959,POINT (-86.82795900000001 36.091316)
2015.0,8,37216.0,commercial,3971741.0,36.216134,-86.726204,POINT (-86.726204 36.216134)
2015.0,8,37075.0,commercial,2311354.0,36.323052,-86.60557,POINT (-86.60557 36.323052)
2015.0,8,37220.0,commercial,631180.0,36.06788,-86.776955,POINT (-86.776955 36.06788)
2015.0,8,37218.0,commercial,3307120.0,36.210699,-86.866798,POINT (-86.866798 36.210699)
2015.0,8,37066.0,commercial,68776.0,36.387698,-86.459057,POINT (-86.459057 36.387698)
2015.0,8,37211.0,commercial,1937720.0,36.069132,-86.724578,POINT (-86.72457799999999 36.069132)
2015.0,8,37218.0,commercial,635765.0,36.210699,-86.866798,POINT (-86.866798 36.210699)
2015.0,8,37027.0,commercial,1202679.0,36.00245,-86.778709,POINT (-86.77870900000001 36.00245)
2015.0,8,37086.0,commercial,629808.0,36.014912,-86.5643,POINT (-86.5643 36.014912)
2015.0,8,37080.0,commercial,287111.0,36.331509,-86.915843,POINT (-86.915843 36.331509)
2015.0,8,37152.0,commercial,65040.0,36.396526,-86.765833,POINT (-86.765833 36.396526)
2015.0,8,37076.0,commercial,6287147.0,36.175185,-86.5933,POINT (-86.5933 36.175185)
2015.0,7,37221.0,commercial,1072307.0,36.064367,-86.96029,POINT (-86.96029 36.064367)
2015.0,7,37076.0,commercial,1211121.0,36.175185,-86.5933,POINT (-86.5933 36.175185)
2015.0,7,37069.0,commercial,5488.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
2015.0,7,37080.0,commercial,304897.0,36.331509,-86.915843,POINT (-86.915843 36.331509)
2015.0,7,37242.0,commercial,384000.0,36.165017,-86.782171,POINT (-86.78217100000001 36.165017)
2015.0,7,37027.0,commercial,11623065.0,36.00245,-86.778709,POINT (-86.77870900000001 36.00245)
2015.0,7,37234.0,commercial,40.0,36.159965,-86.783617,POINT (-86.78361700000001 36.159965)
2015.0,7,37208.0,commercial,1401532.0,36.176427,-86.805176,POINT (-86.805176 36.176427)
2015.0,7,37219.0,commercial,6477731.0,36.167467,-86.783669,POINT (-86.783669 36.167467)
2015.0,7,37211.0,commercial,3639274.0,36.069132,-86.724578,POINT (-86.72457799999999 36.069132)
2015.0,7,37086.0,commercial,763411.0,36.014912,-86.5643,POINT (-86.5643 36.014912)
2015.0,7,37218.0,commercial,631056.0,36.210699,-86.866798,POINT (-86.866798 36.210699)
2015.0,7,37207.0,commercial,16847604.0,36.224945,-86.775061,POINT (-86.77506099999999 36.224945)
2015.0,7,37115.0,commercial,1959107.0,36.262567,-86.704171,POINT (-86.704171 36.262567)
2015.0,7,37152.0,commercial,60960.0,36.396526,-86.765833,POINT (-86.765833 36.396526)
2015.0,7,37122.0,commercial,7197.0,36.187906,-86.500085,POINT (-86.500085 36.187906)
2015.0,7,37228.0,commercial,251355.0,36.193837,-86.803025,POINT (-86.80302500000001 36.193837)
2015.0,7,37208.0,commercial,16218252.0,36.176427,-86.805176,POINT (-86.805176 36.176427)
2015.0,7,37214.0,commercial,30865769.0,36.168995,-86.667231,POINT (-86.667231 36.168995)
2015.0,7,37216.0,commercial,3716787.0,36.216134,-86.726204,POINT (-86.726204 36.216134)
2015.0,7,37075.0,commercial,2294538.0,36.323052,-86.60557,POINT (-86.60557 36.323052)
2015.0,7,37082.0,commercial,1385.0,36.08832,-87.117051,POINT (-87.117051 36.08832)
2015.0,7,37073.0,commercial,27440.0,36.42764,-86.812249,POINT (-86.81224899999999 36.42764)
2015.0,7,37227.0,commercial,367.0,36.129798,-86.666977,POINT (-86.666977 36.129798)
2015.0,7,37204.0,commercial,2026815.0,36.109305,-86.776748,POINT (-86.776748 36.109305)
2015.0,7,37243.0,commercial,119906.0,36.166899,-86.77672,POINT (-86.77672 36.166899)
2015.0,7,37115.0,commercial,11372399.0,36.262567,-86.704171,POINT (-86.704171 36.262567)
2015.0,7,37238.0,commercial,96000.0,36.166067,-86.779698,POINT (-86.779698 36.166067)
2015.0,7,37210.0,commercial,3201559.0,36.140869,-86.738847,POINT (-86.73884700000001 36.140869)
2015.0,7,37072.0,commercial,10660126.0,36.350389,-86.731255,POINT (-86.731255 36.350389)
2015.0,7,37209.0,commercial,2881161.0,36.149599,-86.874487,POINT (-86.874487 36.149599)
2015.0,7,37219.0,commercial,283870.0,36.167467,-86.783669,POINT (-86.783669 36.167467)
2015.0,7,37216.0,commercial,841266.0,36.216134,-86.726204,POINT (-86.726204 36.216134)
2015.0,7,37189.0,commercial,1109805.0,36.279393,-86.826731,POINT (-86.826731 36.279393)
2015.0,7,37203.0,commercial,81469864.0,36.150195,-86.790206,POINT (-86.790206 36.150195)
2015.0,7,37215.0,commercial,1468432.0,36.091316,-86.827959,POINT (-86.82795900000001 36.091316)
2015.0,7,37205.0,commercial,1096940.0,36.112469,-86.867263,POINT (-86.86726299999999 36.112469)
2015.0,7,37227.0,commercial,104820.0,36.129798,-86.666977,POINT (-86.666977 36.129798)
2015.0,7,37138.0,commercial,23228955.0,36.239455,-86.611783,POINT (-86.611783 36.239455)
2015.0,7,37080.0,commercial,608050.0,36.331509,-86.915843,POINT (-86.915843 36.331509)
2015.0,7,37212.0,commercial,1240129.0,36.133256,-86.801456,POINT (-86.801456 36.133256)
2015.0,7,37066.0,commercial,582361.0,36.387698,-86.459057,POINT (-86.459057 36.387698)
2015.0,7,37138.0,commercial,645511.0,36.239455,-86.611783,POINT (-86.611783 36.239455)
2015.0,7,37073.0,commercial,13131.0,36.42764,-86.812249,POINT (-86.81224899999999 36.42764)
2015.0,7,37205.0,commercial,12450118.0,36.112469,-86.867263,POINT (-86.86726299999999 36.112469)
2015.0,7,37027.0,commercial,1237480.0,36.00245,-86.778709,POINT (-86.77870900000001 36.00245)
2015.0,7,37221.0,commercial,4612224.0,36.064367,-86.96029,POINT (-86.96029 36.064367)
2015.0,7,37218.0,commercial,6805561.0,36.210699,-86.866798,POINT (-86.866798 36.210699)
2015.0,7,37212.0,commercial,11804791.0,36.133256,-86.801456,POINT (-86.801456 36.133256)
2015.0,7,37189.0,commercial,1911069.0,36.279393,-86.826731,POINT (-86.826731 36.279393)
2015.0,7,37069.0,commercial,71040.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
2015.0,7,37217.0,commercial,13148634.0,36.106646,-86.667608,POINT (-86.667608 36.106646)
2015.0,7,37220.0,commercial,257982.0,36.06788,-86.776955,POINT (-86.776955 36.06788)
2015.0,7,37203.0,commercial,2929250.0,36.150195,-86.790206,POINT (-86.790206 36.150195)
2015.0,7,37143.0,commercial,27002.0,36.12259,-87.03587,POINT (-87.03587 36.12259)
2015.0,7,37015.0,commercial,5005.0,36.29003,-87.070106,POINT (-87.070106 36.29003)
2015.0,7,37075.0,commercial,9951745.0,36.323052,-86.60557,POINT (-86.60557 36.323052)
2015.0,7,37213.0,commercial,159556.0,36.167552,-86.767564,POINT (-86.76756399999999 36.167552)
2015.0,7,37206.0,commercial,3876357.0,36.18095,-86.739624,POINT (-86.73962400000001 36.18095)
2015.0,7,37214.0,commercial,1761478.0,36.168995,-86.667231,POINT (-86.667231 36.168995)
2015.0,7,37213.0,commercial,3286993.0,36.167552,-86.767564,POINT (-86.76756399999999 36.167552)
2015.0,7,37206.0,commercial,1289778.0,36.18095,-86.739624,POINT (-86.73962400000001 36.18095)
2015.0,7,37013.0,commercial,1533956.0,36.049335,-86.641832,POINT (-86.64183199999999 36.049335)
2015.0,7,37207.0,commercial,1970927.0,36.224945,-86.775061,POINT (-86.77506099999999 36.224945)
2015.0,7,37015.0,commercial,63744.0,36.29003,-87.070106,POINT (-87.070106 36.29003)
2015.0,7,37201.0,commercial,249908.0,36.164553,-86.776977,POINT (-86.776977 36.164553)
2015.0,7,37217.0,commercial,1637605.0,36.106646,-86.667608,POINT (-86.667608 36.106646)
2015.0,7,37201.0,commercial,8658511.0,36.164553,-86.776977,POINT (-86.776977 36.164553)
2015.0,7,37243.0,commercial,2881970.0,36.166899,-86.77672,POINT (-86.77672 36.166899)
2015.0,7,37152.0,commercial,23523.0,36.396526,-86.765833,POINT (-86.765833 36.396526)
2015.0,7,37229.0,commercial,1188150.0,36.166687,-86.779932,POINT (-86.779932 36.166687)
2015.0,7,37210.0,commercial,31783616.0,36.140869,-86.738847,POINT (-86.73884700000001 36.140869)
2015.0,7,37135.0,commercial,3121.0,35.946013,-86.661944,POINT (-86.66194400000001 35.946013)
2015.0,7,37076.0,commercial,8554846.0,36.175185,-86.5933,POINT (-86.5933 36.175185)
2015.0,7,37220.0,commercial,2216562.0,36.06788,-86.776955,POINT (-86.776955 36.06788)
2015.0,7,37013.0,commercial,14897156.0,36.049335,-86.641832,POINT (-86.64183199999999 36.049335)
2015.0,7,37072.0,commercial,1702116.0,36.350389,-86.731255,POINT (-86.731255 36.350389)
2015.0,7,37215.0,commercial,6395473.0,36.091316,-86.827959,POINT (-86.82795900000001 36.091316)
2015.0,7,37066.0,commercial,66733.0,36.387698,-86.459057,POINT (-86.459057 36.387698)
2015.0,7,37202.0,commercial,29500.0,36.158527,-86.782923,POINT (-86.782923 36.158527)
2015.0,7,37228.0,commercial,6290326.0,36.193837,-86.803025,POINT (-86.80302500000001 36.193837)
2015.0,6,37215.0,commercial,1163070.0,36.091316,-86.827959,POINT (-86.82795900000001 36.091316)
2015.0,6,37212.0,commercial,9976626.0,36.133256,-86.801456,POINT (-86.801456 36.133256)
2015.0,6,37217.0,commercial,12744487.0,36.106646,-86.667608,POINT (-86.667608 36.106646)
2015.0,6,37211.0,commercial,19371612.0,36.069132,-86.724578,POINT (-86.72457799999999 36.069132)
2015.0,6,37073.0,commercial,8785.0,36.42764,-86.812249,POINT (-86.81224899999999 36.42764)
2015.0,6,37069.0,commercial,5475.0,35.985493,-86.899213,POINT (-86.899213 35.985493)
2015.0,6,37221.0,commercial,3890304.0,36.064367,-86.96029,POINT (-86.96029 36.064367)
2015.0,6,37138.0,commercial,21202575.0,36.239455,-86.611783,POINT (-86.611783 36.239455)
2015.0,6,37189.0,commercial,1060855.0,36.279393,-86.826731,POINT (-86.826731 36.279393)
